id_servicios;Tipo_cama;cant_camas;mini_bar;ocupacion_min;ocupacion_max;balcon;electronicos
1000210101;King;1;TRUE;1;3;TRUE;TRUE
1000210102;Queen;1;TRUE;1;2;FALSE;TRUE
1000210103;Queen;1;FALSE;1;2;FALSE;TRUE
1000210104;Queen;1;FALSE;1;2;FALSE;TRUE
1000210105;Matrimonial;3;FALSE;1;3;FALSE;TRUE
1000210106;Matrimonial;2;TRUE;1;2;TRUE;TRUE
1000210107;Matrimonial;2;FALSE;1;2;TRUE;TRUE
1000210108;Queen;1;FALSE;1;2;TRUE;TRUE
1000210109;Queen;1;TRUE;1;2;TRUE;TRUE
1000210110;King;1;TRUE;1;3;TRUE;TRUE
